"ACTS Test Suite Generation: Wed Dec 28 18:44:28 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 17"
"Maximum number of values per parameter: 5"
"Number of configurations: 100"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_N5YGK3STMV2HI2LOM5ZQ_KN2HE2LOM4","extra_0_2_N5YGK3SDN5XGM2LHJ5XE2YLQ_KN2HE2LOM4","extra_0_3_MVSGS5DFMRIHE33GNFWGK_KN2HE2LOM4","extra_0_4_MRQXIYI_KN2HE2LOM4","extra_0_5_N5YGK3S7NVQXAX3NMFZGWZLSONPWO4TPOVYHG_IJ2W4ZDMMU","extra_0_7_ONUG6527N5ZW2YLOMRPXOZLMMNXW2ZK7ONRXEZLFNY_MJXW63DFMFXA","extra_5_6_NVQXE23FOJZV643ZNZRV6Z3SN52XAX3JMQ_KN2HE2LOM4","path","scheme","type"
"android.intent.action.VIEW","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","null","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","null","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","null","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NOTEMPTY#$","$#NULL#$","null","$#NULL#$"
